# id|tipo|nome|colore|grammi|cm|amo|prezzo|liv_wiki|img
# ESCHE ARTIFICIALI - dati veri dal wiki di Fishing Planet
# tipo: cucchiaino, rotante, minnow, jig, siliconico, mare
366|rotante|Buzzbait|Black|28|10|#5/0|2110|44|8136.png
367|rotante|Buzzbait|White|28|10|#5/0|2110|44|8142.png
368|siliconico|Shad|White||3||50|4|980.png
369|siliconico|Shad|Yellow||3||50|4|981.png
370|siliconico|Shad|White||5||70|5|980.png
371|siliconico|Shad|Yellow||5||70|5|981.png
372|siliconico|Shad|Swamp Green||5||70|5|971.png
373|siliconico|Shad|White||7||120|6|980.png
374|siliconico|Shad|Yellow||7||120|6|981.png
375|siliconico|Shad|Swamp Green||7||120|6|971.png
376|siliconico|Grub|Red||3||70|8|990.png
377|siliconico|Grub|Yellow||3||70|8|700.png
378|siliconico|Grub|Red||5||90|9|990.png
379|siliconico|Grub|Yellow||5||90|9|700.png
380|siliconico|Grub|Dark Green||5||90|9|991.png
381|siliconico|Shad|White & Red Head/Glow White & Red Head||3||75|9|2725.png
382|siliconico|Shad|White & Red Head/Glow White & Red Head||5||100|9|2725.png
383|siliconico|Grub|Red||7||150|10|990.png
384|siliconico|Grub|Yellow||7||150|10|700.png
385|siliconico|Grub|Dark Green||7||150|10|991.png
386|siliconico|Tube|Watermelon Seed||5||100|10|1002.png
387|siliconico|Tube|Pumpkin Seed||5||100|10|1003.png
388|siliconico|Tube|Green Pumpkin||5||100|10|1005.png
389|siliconico|Tube|Salt & Pepper||5||100|10|1004.png
390|siliconico|Craw|Green Pumpkin||2.5||100|11|1605.png
391|siliconico|Craw|Green Pumpkin||4||140|11|1605.png
392|siliconico|Craw|Dark Space Blue||2.5||100|11|1604.png
393|siliconico|Craw|Dark Space Blue||4||140|11|1604.png
394|siliconico|Grub|Acid Yellow||7||150|11|983.png
395|siliconico|Grub|Amber||7||150|11|987.png
396|siliconico|Twin Tail Spider Grub|Salt & Pepper||3||125|11|8204.png
397|siliconico|Twin Tail Spider Grub|Red/Black Flake||3||125|11|8206.png
398|siliconico|Grub|White||7||150|12|1006.png
399|siliconico|Grub|Orange||7||150|12|1007.png
400|siliconico|Grub|Ruby||7||150|12|985.png
401|siliconico|Nymphes|Green and Yellow||5||270|12|2391.png
402|siliconico|Nymphes|Red and Yellow||5||270|12|2395.png
403|siliconico|Nymphes|Strawberry||5||270|12|2578.png
404|siliconico|Nymphes|Slice Fish||5||270|12|2580.png
405|siliconico|Craw|Green Pumpkin||5||180|13|1605.png
406|siliconico|Craw|Green Pumpkin||7.5||250|13|1605.png
407|siliconico|Craw|Dark Space Blue||5||180|13|1604.png
408|siliconico|Craw|Dark Space Blue||7.5||250|13|1604.png
409|siliconico|Nymphes|Green and Yellow||7.5||340|13|2391.png
410|siliconico|Nymphes|Red and Yellow||7.5||340|13|2395.png
411|siliconico|Twin Tail Spider Grub|Watermelon/Red Flake||3||155|13|8210.png
412|siliconico|Twin Tail Spider Grub|Purple||3||155|13|8208.png
413|siliconico|Craw|Dim Green/Glow Green||2.5||200|14|2734.png
414|siliconico|Craw|Dim Green/Glow Green||5||230|14|2734.png
415|siliconico|Craw|Dim Green/Glow Green||7.5||300|16|2734.png
416|siliconico|Craw|Dim Green/Glow Green||10||350|16|2734.png
417|siliconico|Slug|Green||5||250|16|8158.png
418|siliconico|Slug|Yellow and White||5||250|16|8160.png
419|siliconico|Slug|Black and Green||5||250|18|8162.png
420|siliconico|Slug|Orange||5||250|18|8156.png
421|siliconico|Twin Tail Spider Grub|Purple||5||185|21|8208.png
422|siliconico|Twin Tail Spider Grub|Red/Black Flake||5||185|21|8206.png
423|siliconico|Worm|Acid Green||7||170|21|1001.png
424|siliconico|Worm|Black||7||170|21|999.png
425|siliconico|Worm|Light Green||7||170|21|998.png
426|siliconico|Worm|Purple||7||170|21|997.png
427|siliconico|Shad|White & Red Head||7||150|22|973.png
428|siliconico|Shad|Yellow & Red Tail||7||150|22|702.png
429|siliconico|Worm|Dim Green/Glow Green||7||220|22|2729.png
430|siliconico|Shad|Yellow & Red||7||150|23|975.png
431|siliconico|Shad|Black||7||150|23|977.png
432|siliconico|Shad|Grass Green||7||150|23|979.png
433|siliconico|Shad|White & Red Head/Glow White & Red Head||7||190|23|2725.png
434|siliconico|Twin Tail Spider Grub|Salt & Pepper||5||210|23|8204.png
435|siliconico|Twin Tail Spider Grub|Watermelon/Red Flake||5||210|23|8210.png
436|siliconico|Newts|Black||5||250|26|2379.png
437|siliconico|Newts|Brown and Yellow||5||250|26|2381.png
438|siliconico|Worm|Pearl||10||220|26|993.png
439|siliconico|Worm|Chocolate||10||220|26|994.png
440|siliconico|Worm|Blue||10||220|26|996.png
441|siliconico|Worm|Yellow||10||220|26|995.png
442|siliconico|Newts|Black||7.5||300|27|2379.png
443|siliconico|Newts|Brown and Yellow||7.5||300|27|2381.png
444|siliconico|Twin Tail Spider Grub|Salt & Pepper||7||230|27|8204.png
445|siliconico|Twin Tail Spider Grub|Watermelon/Red Flake||7||230|27|8210.png
446|siliconico|Twin Tail Spider Grub|Red/Black Flake||7||230|27|8206.png
447|siliconico|Worm|Black||10||220|27|999.png
448|siliconico|Newts|Black||10||350|28|2379.png
449|siliconico|Newts|Brown and Yellow||10||350|28|2381.png
450|siliconico|Worm|Acid Green||10||220|28|1001.png
451|siliconico|Worm|Light Green||10||220|28|998.png
452|siliconico|Worm|Purple||10||220|28|997.png
453|siliconico|Crayfish|Black and Blue||7.5||370|29|1771.png
454|siliconico|Crayfish|Carolina Pumpkin||7.5||370|29|2162.png
455|siliconico|Twin Tail Spider Grub|Purple||7||270|29|8208.png
456|siliconico|Worm|Acid Green||12.5||260|29|1001.png
457|siliconico|Worm|Purple||12.5||260|29|997.png
458|siliconico|Worm|Dim Green/Glow Green||10||280|29|2729.png
459|siliconico|Shad|White||10||180|30|980.png
460|siliconico|Shad|Yellow||10||180|30|981.png
461|siliconico|Shad|Swamp Green||10||180|30|971.png
462|siliconico|Worm|Dim Green/Glow Green||12.5||380|30|2729.png
463|siliconico|Shad|White & Red Head||10||220|31|973.png
464|siliconico|Shad|Yellow & Red Tail||10||220|31|702.png
465|siliconico|Crayfish|Black and Blue||10||450|32|1771.png
466|siliconico|Crayfish|Carolina Pumpkin||10||450|32|2162.png
467|siliconico|Larva|Purple||5||375|32|8182.png
468|siliconico|Larva|Red||5||375|32|8186.png
469|siliconico|Shad|Yellow & Red||10||220|32|975.png
470|siliconico|Shad|Black||10||220|32|977.png
471|siliconico|Shad|Grass Green||10||220|32|979.png
472|siliconico|Slug|Green||7||370|32|8158.png
473|siliconico|Slug|Yellow and White||7||370|32|8160.png
474|siliconico|Shad|White & Red Head/Glow White & Red Head||10||280|33|2725.png
475|siliconico|Worm|Acid Green||15||300|33|1001.png
476|siliconico|Worm|Purple||15||300|33|997.png
477|siliconico|Larva|Yellow||5||390|36|8180.png
478|siliconico|Larva|Acid Green||5||390|36|8184.png
479|siliconico|Nymphes|Green and Yellow||10||500|40|2391.png
480|siliconico|Nymphes|Red and Yellow||10||500|40|2395.png
481|siliconico|Slug|Green||10||500|44|8158.png
482|siliconico|Slug|Yellow and White||10||500|44|8160.png
483|siliconico|Bionic Slug|Blue||12||570|46|12950.png
484|siliconico|Bionic Slug|Dark Green/Green||12||570|46|12951.png
485|siliconico|Bionic Slug|Pink/Golden||12||570|46|12953.png
486|siliconico|Grub|Red||10||330|46|990.png
487|siliconico|Grub|Dark Green||10||330|46|991.png
488|siliconico|Grub|Yellow||10||330|47|700.png
489|siliconico|Grub|Amber||10||330|47|987.png
490|siliconico|Grub|Orange||10||330|48|1007.png
491|siliconico|Larva|Purple||7.5||630|49|8182.png
492|siliconico|Larva|Red||7.5||630|49|8186.png
493|siliconico|Shad|Yellow||15||330|53|981.png
494|siliconico|Shad|Black||15||330|53|977.png
495|siliconico|Larva|Purple||10||790|55|8182.png
496|siliconico|Larva|Red||10||790|55|8186.png
497|siliconico|Slug|Green||15||610|57|8158.png
498|siliconico|Slug|Yellow and White||15||500|57|8160.png
499|siliconico|Grub|White||10||330|58|1006.png
500|siliconico|Twin Tail Spider Grub|Salt & Pepper||10||570|58|8204.png
501|siliconico|Twin Tail Spider Grub|Red/Black Flake||10||570|58|8206.png
502|siliconico|Twin Tail Spider Grub|Watermelon/Red Flake||10||570|60|8210.png
503|siliconico|Twin Tail Spider Grub|Purple||10||570|60|8208.png
504|siliconico|Shad|White & Red Head||15||330|62|973.png
505|siliconico|Shad|Yellow & Red Tail||15||330|62|702.png
506|siliconico|Craw|Green Pumpkin||15||250|65|1605.png
507|siliconico|Craw|Dark Space Blue||15||250|65|1604.png
508|siliconico|Craw|Dim Green/Glow Green||15||350|65|2734.png
509|siliconico|Twin Tail Spider Grub|Watermelon/Red Flake||15||650|66|8210.png
510|siliconico|Twin Tail Spider Grub|Purple||15||650|66|8208.png
511|siliconico|Shad|Yellow & Red||15||330|67|975.png
512|siliconico|Shad|Grass Green||15||330|67|979.png
513|siliconico|Shad|White & Red Head/Glow White & Red Head||15||330|67|2725.png
514|siliconico|Twin Tail Spider Grub|Salt & Pepper||15||650|69|8204.png
515|siliconico|Twin Tail Spider Grub|Red/Black Flake||15||650|69|8206.png
516|siliconico|Ribbed Shad|Blue and Acid Green||7||380|73|11051.png
517|siliconico|Ribbed Shad|Purple Dust||7||380|73|11052.png
518|siliconico|Ribbed Shad|Blue and Acid Green||10||640|74|11051.png
519|siliconico|Ribbed Shad|Purple Dust||10||640|74|11052.png
520|siliconico|Minnow Grub|Rose with Dots||7||460|75|11060.png
521|siliconico|Minnow Grub|Perch||7||460|75|11061.png
522|siliconico|Ribbed Shad|Blue and Acid Green||15||790|75|11051.png
523|siliconico|Ribbed Shad|Purple Dust||15||790|75|11052.png
524|siliconico|Minnow Grub|Rose with Dots||10||780|77|11060.png
525|siliconico|Minnow Grub|Perch||10||780|77|11061.png
526|siliconico|Minnow Grub|Rose with Dots||15||990|78|11060.png
527|siliconico|Minnow Grub|Perch||15||990|78|11061.png
